pub_date	title	venue	excerpt	citation	url_slug	paper_url
7/11/2018	Designing Corporate Hackathons with a Purpose	IEEE Software	"In hackathons, small teams work together over a specified period of time to complete a project of interest. Hackathons have become increasingly popular as a means to surface and prototype innovative and creative ideas for products, but their impact often goes beyond product innovation. Based on our empirical studies of 10 hackathons held by scientific communities, a corporation, and universities as well as the review of published literature, we discuss that hackathons can be organized around goals such as enriching social networks, facilitating collaborative learning, and workforce development. We also discuss design choices that can scaffold the organization of hackathons and their trade-offs. Design choices include identifying a suitable mixture of attendee skills, the selection process for projects and teams, and whether to hold a competitive or collaborative event. Hackathons can achieve multiple goals if designed carefully."	"Pe-Than, E.P.P., Nolte, A., Filippova, A., Bird, C., Scallen, S., and Herbsleb, J.D. (2018). ""Designing Corporate Hackathons with a Purpose."" <i>IEEE Software</i>. 36(1), pp. 15-22."	IEEESW-2018	http://eipapa.github.io/files/IEEESW-2018.pdf
10/1/2010	Paper Title Number 2	Journal 1	This paper is about the number 2. The number 3 is left for future work.	"Your Name, You. (2010). ""Paper Title Number 2."" <i>Journal 1</i>. 1(2)."	paper-title-number-2	http://academicpages.github.io/files/paper2.pdf
